Index,Rank 2014,Rank 2013,Name,Country,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations Per Faculty Score,Citations Per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,Overall
1,  1  ,    1  ,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),US,100,6,100,4,100,14,100,10,99.8,42,95.6,57,100
2,  2=,    3  ,UNIVERSITY OF CAMBRIDGE,UK,100,1,100,2,99.9,18,97.9,40,95.6,73,96.5,48,99.4
3,  2=,    5  ,IMPERIAL COLLEGE LONDON,UK,99.9,14,100,7,99.8,26,96.2,49,100,41,99.7,20,99.4
4,  4  ,    2  ,HARVARD UNIVERSITY,US,100,2,100,3,99.7,29,100,3,98.1,53,83.8,117,99.3
5,  5=,    6  ,UNIVERSITY OF OXFORD,UK,100,3,100,1,100,10,96.6,46,98.4,51,95,59,99.2
6,  5=,    4  ,UCL (UNIVERSITY COLLEGE LONDON),UK,99.9,15,99.4,22,99,35,97.4,41,96.8,59,100,15,99.2
7,  7  ,    7  ,STANFORD UNIVERSITY,US,100,5,100,5,98.5,39,100,8,92.6,92,74.1,157,98.3
8,  8  ,    10=,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),US,99.6,26,82.3,107,100,6,100,1,90.9,109,86,106,97.1
9,  9  ,    10=,PRINCETON UNIVERSITY,US,100,11,97.7,32,98.4,43,99.5,27,74.2,187,66.6,194,96.6
10,  10  ,    8  ,YALE UNIVERSITY,US,100,10,100,12,100,5,92.2,66,93.2,89,62.7,211,96.5
11,  11  ,    9  ,UNIVERSITY OF CHICAGO,US,99.9,18,96.7,41,95.3,57,99.2,30,67.8,207,66.9,193,95.5
12,  12  ,    12  ,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),CH,99.9,17,98.6,28,79.7,134,97.1,44,100,10,98.1,37,95.3
13,  13  ,    13  ,UNIVERSITY OF PENNSYLVANIA,US,98.5,33,96.8,38,99.9,17,95.9,52,54.4,260,67.3,189,94.5
14,  14=,    14  ,COLUMBIA UNIVERSITY,US,100,12,99.9,16,95.4,55,98.6,35,15.6,401+,86,105,94.1
15,  14=,    16  ,JOHNS HOPKINS UNIVERSITY,US,96.1,45,74.9,130,100,13,99.9,13,92.3,97,67.6,187,94.1
16,  16  ,    19=,KING'S COLLEGE LONDON (KCL),UK,95.5,47,93.5,58,90.3,81,87.3,83,94,85,98.1,36,92.9
17,  17=,    17=,UNIVERSITY OF EDINBURGH,UK,99.8,21,98.2,30,79.4,136,87.9,79,90.3,113,97.5,41,92.8
18,  17=,    19=,ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),CH,89.8,70,90.3,65,94.4,61,94,60,100,11,100,12,92.8
19,  19  ,    15  ,CORNELL UNIVERSITY,US,99.7,23,96.4,43,75.2,157,99.7,23,92.6,93,65.6,197,92.6
20,  20  ,    17=,UNIVERSITY OF TORONTO,CA,100,13,96.8,37,78.8,137,87.5,82,96.9,58,88.6,97,92.4
21,  21  ,    21  ,MCGILL UNIVERSITY,CA,99.3,31,96.4,44,90.2,82,76.6,117,80.1,165,90.7,90,91.5
22,  22  ,    24  ,NATIONAL UNIVERSITY OF SINGAPORE (NUS),SG,100,9,100,10,92.1,71,63.8,185,100,23,94.9,62,91.1
23,  23  ,    22  ,UNIVERSITY OF MICHIGAN,US,99.8,22,90.2,66,85,110,97.2,42,61.9,224,33.3,401+,90.3
